Draw Date,Multiplier,White1,White2,White3,White4,White5,Powerball
04/11/2018,3.0,16,18,27,55,67,18
04/07/2018,2.0,2,17,20,38,39,20
04/04/2018,4.0,8,24,42,54,64,24
03/31/2018,3.0,8,24,52,55,61,21
03/28/2018,2.0,6,8,26,52,53,21
03/24/2018,3.0,10,33,45,53,56,24
03/21/2018,2.0,3,4,18,29,61,25
03/17/2018,2.0,22,57,59,60,66,7
03/14/2018,3.0,6,12,24,41,68,9
03/10/2018,3.0,43,44,54,61,69,22
03/07/2018,2.0,6,13,19,36,51,18
03/03/2018,2.0,13,17,25,36,40,5
02/28/2018,5.0,12,30,59,65,69,16
02/24/2018,2.0,24,25,38,62,63,6
02/21/2018,3.0,7,15,31,34,36,8
02/17/2018,3.0,13,26,39,44,62,2
02/14/2018,2.0,37,39,44,46,69,26
02/10/2018,5.0,1,13,27,41,59,20
02/07/2018,2.0,23,34,35,40,47,10
02/03/2018,2.0,15,23,27,48,53,6
01/31/2018,10.0,4,7,14,46,59,22
01/27/2018,2.0,17,21,26,47,54,7
01/24/2018,3.0,5,9,11,33,64,21
01/20/2018,4.0,26,28,47,49,58,3
01/17/2018,2.0,3,33,37,51,57,21
01/13/2018,2.0,14,25,35,58,69,24
01/10/2018,5.0,7,24,33,49,50,4
01/06/2018,3.0,12,61,30,29,33,26
01/03/2018,3.0,2,18,37,39,42,12
12/30/2017,2.0,28,36,41,51,58,24
12/27/2017,3.0,3,9,16,56,60,3
12/23/2017,2.0,1,3,13,15,44,25
12/20/2017,2.0,1,20,61,64,69,20
12/16/2017,2.0,9,35,37,50,63,11
12/13/2017,3.0,2,24,28,51,58,7
12/09/2017,5.0,25,36,37,55,60,6
12/06/2017,2.0,19,20,50,55,62,9
12/02/2017,3.0,28,30,32,36,58,6
11/29/2017,3.0,24,26,28,59,63,16
11/25/2017,2.0,8,13,27,53,54,4
11/22/2017,2.0,35,37,46,51,61,13
11/18/2017,3.0,17,28,31,32,39,26
11/15/2017,2.0,23,32,44,48,50,25
11/11/2017,2.0,4,6,16,30,56,18
11/08/2017,2.0,12,14,20,21,34,22
11/04/2017,3.0,12,14,26,48,51,13
11/01/2017,2.0,3,6,19,26,44,1
10/28/2017,2.0,27,35,38,57,66,10
10/25/2017,3.0,18,22,29,54,57,8
10/21/2017,2.0,14,41,42,45,69,4
10/18/2017,2.0,30,49,54,66,69,8
10/14/2017,3.0,32,37,56,66,69,11
10/11/2017,2.0,1,3,13,19,69,23
10/07/2017,2.0,10,49,61,63,65,7
10/04/2017,2.0,22,23,62,63,66,24
09/30/2017,3.0,8,12,25,41,64,15
09/27/2017,3.0,8,10,21,23,25,22
09/23/2017,2.0,24,45,55,56,57,19
09/20/2017,3.0,39,48,53,67,68,26
09/16/2017,2.0,17,18,24,25,31,24
09/13/2017,3.0,17,24,35,57,63,19
09/09/2017,2.0,6,20,29,57,59,22
09/06/2017,3.0,8,14,32,58,67,17
09/02/2017,2.0,6,21,41,52,62,26
08/30/2017,2.0,19,28,43,67,69,7
08/26/2017,2.0,7,15,32,38,66,15
08/23/2017,4.0,6,7,16,23,26,4
08/19/2017,4.0,17,19,39,43,68,13
08/16/2017,3.0,9,15,43,60,64,4
08/12/2017,2.0,20,24,26,35,49,19
08/09/2017,4.0,12,30,36,47,62,9
08/05/2017,2.0,11,21,28,33,45,11
08/02/2017,3.0,1,16,54,63,69,18
07/29/2017,2.0,1,28,40,45,48,12
07/26/2017,2.0,7,19,21,42,69,12
07/22/2017,3.0,5,32,44,53,60,9
07/19/2017,5.0,50,51,59,61,63,4
07/15/2017,2.0,9,40,63,64,66,17
07/12/2017,2.0,1,2,18,23,61,9
07/08/2017,2.0,8,10,29,40,59,26
07/05/2017,2.0,4,9,16,54,68,21
07/01/2017,3.0,19,42,45,48,53,16
06/28/2017,2.0,29,37,46,53,68,8
06/24/2017,4.0,10,22,32,36,58,10
06/21/2017,2.0,14,46,61,65,68,13
06/17/2017,2.0,10,13,32,53,62,21
06/14/2017,2.0,5,22,43,57,63,24
06/07/2017,3.0,5,21,57,66,69,13
06/03/2017,4.0,3,9,21,41,54,25
05/31/2017,2.0,4,33,39,46,60,6
05/27/2017,3.0,5,10,28,55,67,9
05/24/2017,2.0,28,32,33,38,62,15
05/20/2017,2.0,5,22,45,47,54,3
05/17/2017,3.0,4,11,39,45,48,9
05/13/2017,5.0,17,20,32,63,68,19
05/10/2017,2.0,29,31,46,56,62,8
05/06/2017,3.0,11,21,31,41,59,21
05/03/2017,2.0,17,18,49,59,66,9
04/29/2017,2.0,22,23,24,45,62,5
04/26/2017,4.0,1,15,18,26,51,26
04/22/2017,3.0,21,39,41,48,63,6
04/19/2017,3.0,1,19,37,40,52,15
04/15/2017,3.0,5,22,26,45,61,13
04/12/2017,2.0,8,14,61,63,68,24
04/08/2017,2.0,23,36,51,53,60,15
04/05/2017,2.0,8,20,46,53,54,13
04/01/2017,3.0,9,32,36,44,65,1
03/29/2017,3.0,8,15,31,36,62,11
03/25/2017,4.0,18,31,32,45,48,16
03/22/2017,2.0,2,9,27,29,42,9
03/18/2017,3.0,13,25,44,54,67,5
03/15/2017,3.0,16,30,41,48,53,16
03/11/2017,2.0,1,26,41,50,57,11
03/08/2017,2.0,23,33,42,46,59,4
03/04/2017,3.0,2,18,19,22,63,19
03/01/2017,10.0,10,16,40,52,55,17
02/25/2017,2.0,6,32,47,62,65,19
02/22/2017,2.0,10,13,28,52,61,2
02/18/2017,3.0,3,7,9,31,33,20
02/15/2017,2.0,5,28,33,38,42,19
02/11/2017,2.0,5,9,17,37,64,2
02/08/2017,2.0,14,20,42,49,66,5
02/04/2017,3.0,6,13,16,17,52,25
02/01/2017,2.0,9,43,57,60,64,10
01/28/2017,2.0,12,20,39,49,69,17
01/25/2017,2.0,18,28,62,66,68,22
01/21/2017,2.0,23,25,45,52,67,2
01/18/2017,2.0,9,40,41,53,58,12
01/14/2017,5.0,23,55,59,64,69,13
01/11/2017,2.0,1,3,13,16,43,24
01/07/2017,2.0,3,12,24,37,63,10
01/04/2017,3.0,16,17,29,41,42,4
12/31/2016,2.0,1,3,28,57,67,9
12/28/2016,2.0,16,23,30,44,58,4
12/24/2016,2.0,28,38,42,51,52,21
12/21/2016,5.0,25,33,40,54,68,3
12/17/2016,2.0,1,8,16,40,48,10
12/14/2016,3.0,18,26,37,39,66,15
12/10/2016,2.0,12,21,32,44,66,15
12/07/2016,2.0,41,48,49,53,64,20
12/03/2016,2.0,8,10,26,27,33,22
11/30/2016,2.0,3,14,18,25,45,7
11/26/2016,2.0,17,19,21,37,44,16
11/23/2016,2.0,7,32,41,47,61,3
11/19/2016,2.0,16,24,28,43,61,21
11/16/2016,2.0,28,41,61,63,65,7
11/12/2016,2.0,8,17,20,27,52,24
11/09/2016,2.0,1,25,28,31,54,2
11/05/2016,3.0,21,31,50,51,69,8
11/02/2016,2.0,13,18,37,54,61,5
10/29/2016,3.0,19,20,21,42,48,23
10/26/2016,2.0,2,3,16,48,56,24
10/22/2016,2.0,1,28,33,55,56,22
10/19/2016,2.0,10,16,38,43,63,23
10/15/2016,2.0,23,49,57,64,67,20
10/12/2016,2.0,16,30,34,37,44,16
10/08/2016,2.0,3,54,61,64,68,9
10/05/2016,2.0,8,18,27,29,60,15
10/01/2016,2.0,2,12,50,61,64,1
09/28/2016,3.0,30,38,52,53,62,1
09/24/2016,2.0,7,15,20,29,41,22
09/21/2016,4.0,1,28,63,67,69,17
09/17/2016,4.0,9,19,51,55,62,14
09/14/2016,2.0,10,11,23,28,31,14
09/10/2016,2.0,3,17,49,55,68,8
09/07/2016,2.0,22,23,29,33,55,21
09/03/2016,3.0,7,39,50,59,67,25
08/31/2016,2.0,5,10,24,56,61,12
08/27/2016,2.0,4,32,48,49,63,20
08/24/2016,3.0,9,11,25,64,65,16
08/20/2016,2.0,3,6,21,60,68,24
08/17/2016,3.0,33,44,49,50,52,8
08/13/2016,2.0,38,44,60,64,69,6
08/10/2016,5.0,23,56,61,64,67,12
08/06/2016,3.0,20,33,36,47,52,12
08/03/2016,3.0,9,11,27,66,67,2
07/30/2016,2.0,11,17,21,23,32,5
07/27/2016,2.0,10,47,50,65,68,24
07/23/2016,2.0,5,7,23,35,39,11
07/20/2016,2.0,6,25,35,58,66,5
07/16/2016,2.0,11,17,40,50,62,26
07/13/2016,3.0,3,15,29,54,57,10
07/09/2016,3.0,10,28,32,61,64,12
07/06/2016,3.0,2,24,31,57,66,18
07/02/2016,2.0,10,34,39,59,63,4
06/29/2016,2.0,23,29,37,60,64,6
06/25/2016,2.0,3,27,36,56,69,25
06/22/2016,3.0,14,40,42,43,52,17
06/18/2016,2.0,2,23,41,53,63,11
06/15/2016,2.0,4,22,24,31,33,10
06/11/2016,2.0,20,27,36,41,58,7
06/08/2016,3.0,12,25,37,60,69,20
06/04/2016,2.0,16,20,22,43,64,17
